Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains
brave.com,https://brave.com/blog/index.xml,Brave Blog,Brave,Enabled,1.00,,article,,brave.com
cnn.com,https://rss.cnn.com/rss/cnn_topstories.rss,CNN,Top News,Enabled,7.04,,article,,www.cnn.com
nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,The New York Times,Top News,Enabled,5.74,On,article,,www.nytimes.com
bbc.co.uk,https://feeds.bbci.co.uk/news/rss.xml?edition=int,BBC,Top News,Enabled,3.22,,article,,www.bbc.co.uk
foxnews.com,https://feeds.foxnews.com/foxnews/latest,FOX News,Top News,Enabled,2.81,On,article,,www.foxnews.com
theguardian.com,https://www.theguardian.com/world/rss,The Guardian,Top News,Enabled,2.31,On,article,,www.theguardian.com
washingtonpost.com,https://www.washingtonpost.com/?outputType=rss,Washington Post,Top News,Enabled,2.30,,article,,www.washingtonpost.com
nbcnews.com,https://feeds.nbcnews.com/nbcnews/public/news,NBC News,Top News,Enabled,2.22,,article,,www.nbcnews.com
abcnews.com,https://abcnews.go.com/abcnews/topstories,ABC News,Top News,Enabled,1.49,On,article,,abcnews.go.com
dailymail.co.uk,https://www.dailymail.co.uk/home/index.rss,Daily Mail,Top News,Enabled,1.42,On,article,,www.dailymail.co.uk
nypost.com,https://nypost.com/news/feed/,New York Post,Top News,Enabled,1.39,On,article,,nypost.com
npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,Enabled,1.06,,article,,www.npr.org
wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ,Top News,Enabled,0.38,,article,,www.wsj.com
latimes.com,https://www.latimes.com/local/rss2.0.xml,LA Times,Top News,Disabled,0.07,,article,,www.latimes.com
newsweek.com,https://www.newsweek.com/rss,Newsweek,Top News,Disabled,-0.04,,article,,www.newsweek.com
politico.com,https://rss.politico.com/politics-news.xml,Politico,Top News,Disabled,-0.05,,article,,www.politico.com
independent.co.uk,https://www.independent.co.uk/rss,The Independent,Top News,Disabled,-0.33,,article,,www.independent.co.uk
